#x-axis y-axis
#double double
#n n
-50 1.03631
-49.5 1.38687
-49 3.32676
-48.5 -5.16906
-48 -1.56215
-47.5 -1.07515
-47 -1.00772
-46.5 -1.23212
-46 -2.31386
-45.5 18.8436
-45 1.90359
-44.5 1.1508
-44 1.00016
-43.5 1.12876
-43 1.80143
-42.5 11.3143
-42 -2.50009
-41.5 -1.26514
-41 -1.01282
-40.5 -1.06099
-40 -1.49939
-39.5 -4.38468
-39 3.75033
-38.5 1.43664
-38 1.04704
-37.5 1.02016
-37 1.30648
-36.5 2.75341
-36 -7.81472
-35.5 -1.70131
-35 -1.10657
-34.5 -1.00166
-34 -1.17845
-33.5 -2.03652
-33 -75.3197
-32.5 2.13798
-32 1.19872
-31.5 1.00354
-31 1.0932
-30.5 1.64189
-30 6.48292
-29.5 -2.95579
-29 -1.3368
-28.5 -1.02601
-28 -1.03885
-27.5 -1.39882
-27 -3.42303
-26.5 4.94719
-26 1.54579
-25.5 1.07145
-25 1.00888
-24.5 1.24006
-24 2.3575
-23.5 -16.1537
-23 -1.87676
-22.5 -1.14508
-22 -1.00004
-21.5 -1.13405
-21 -1.82572
-20.5 -12.5686
-20 2.45049
-19.5 1.25657
-19 1.01142
-18.5 1.06437
-18 1.51442
-17.5 4.55706
-17 -3.63421
-16.5 -1.4237
-16 -1.04421
-15.5 -1.02202
-15 -1.31633
-14.5 -2.8175
-14 7.3133
-13.5 1.6809
-13 1.10199
-12.5 1.00221
-12 1.18504
-11.5 2.06909
-11 225.953
-10.5 -2.10289
-10 -1.19179
-9.5 -1.00284
-9 -1.09754
-8.5 -1.6611
-8 -6.87285
-7.5 2.88488
-7 1.32643
-6.5 1.02397
-6 1.04148
-5.5 1.41109
-5 3.52532
-4.5 -4.74393
-4 -1.52989
-3.5 -1.06786
-3 -1.01011
-2.5 -1.24822
-2 -2.403
-1.5 14.1368
-1 1.85082
-0.5 1.13949
0 1
0.5 1.13949
1 1.85082
1.5 14.1368
2 -2.403
2.5 -1.24822
3 -1.01011
3.5 -1.06786
4 -1.52989
4.5 -4.74393
5 3.52532
5.5 1.41109
6 1.04148
6.5 1.02397
7 1.32643
7.5 2.88488
8 -6.87285
8.5 -1.6611
9 -1.09754
9.5 -1.00284
10 -1.19179
10.5 -2.10289
11 225.953
11.5 2.06909
12 1.18504
12.5 1.00221
13 1.10199
13.5 1.6809
14 7.3133
14.5 -2.8175
15 -1.31633
15.5 -1.02202
16 -1.04421
16.5 -1.4237
17 -3.63421
17.5 4.55706
18 1.51442
18.5 1.06437
19 1.01142
19.5 1.25657
20 2.45049
20.5 -12.5686
21 -1.82572
21.5 -1.13405
22 -1.00004
22.5 -1.14508
23 -1.87676
23.5 -16.1537
24 2.3575
24.5 1.24006
25 1.00888
25.5 1.07145
26 1.54579
26.5 4.94719
27 -3.42303
27.5 -1.39882
28 -1.03885
28.5 -1.02601
29 -1.3368
29.5 -2.95579
30 6.48292
30.5 1.64189
31 1.0932
31.5 1.00354
32 1.19872
32.5 2.13798
33 -75.3197
33.5 -2.03652
34 -1.17845
34.5 -1.00166
35 -1.10657
35.5 -1.70131
36 -7.81472
36.5 2.75341
37 1.30648
37.5 1.02016
38 1.04704
38.5 1.43664
39 3.75033
39.5 -4.38468
40 -1.49939
40.5 -1.06099
41 -1.01282
41.5 -1.26514
42 -2.50009
42.5 11.3143
43 1.80143
43.5 1.12876
44 1.00016
44.5 1.1508
45 1.90359
45.5 18.8436
46 -2.31386
46.5 -1.23212
47 -1.00772
47.5 -1.07515
48 -1.56215
48.5 -5.16906
49 3.32676
49.5 1.38687
50 1.03631
