 ACQUISITION_TIME_SCET  TEC_CURRENT
      672702182.905258     0.001421
      672702212.905060     0.000707
      672702242.904907     0.000707
      672702272.904861     0.000707
      672702302.904587     0.000707
      672702318.779587     0.000707
      672702319.779556     0.000707
      672702320.779633     0.000707
      672702321.779617     0.000707
      672702322.779541     0.000707
      672702323.779602     0.000707
      672702324.779510     0.001421
      672702325.779556     0.000707
      672702326.779587     0.000707
      672702327.779526     0.000707
      672702328.779556     0.000707
      672702329.779510     0.000707
      672702330.779556     0.000707
      672702331.779495     0.001421
      672702332.779572     0.000707
      672702333.779526     0.001421
      672702334.779495     0.000707
      672702335.779541     0.000707
      672702336.779510     0.000707
      672702337.779419     0.000707
      672702338.779495     0.001421
      672702339.779480     0.000707
      672702340.779465     0.000707
      672702341.779495     0.000707
      672702342.779465     0.000707
      672702343.779465     0.000707
      672702344.779510     0.000707
      672702345.779449     0.000707
      672702346.779510     0.001421
      672702347.779480     0.001421
      672702348.779449     0.000707
      672702349.779465     0.000707
      672702350.779465     0.000707
      672702351.779419     0.000707
      672702352.779373     0.000707
      672702353.779404     0.000707
      672702354.779404     0.001421
      672702355.779449     0.001421
      672702356.779373     0.000707
      672702357.779449     0.001421
      672702358.779404     0.001421
      672702359.779419     0.059910
      672702360.779327     0.062049
      672702361.779449     0.062049
      672702362.779388     0.066329
      672702363.779282     0.064903
      672702364.779358     0.067756
      672702365.779358     0.067756
      672702366.779327     0.064903
      672702367.779404     0.063476
      672702368.779373     0.067042
      672702369.779327     0.073462
      672702370.779373     0.071322
      672702371.779297     0.069182
      672702372.779327     0.072749
      672702373.779312     0.065616
      672702374.779343     0.069896
      672702375.779312     0.068469
      672702376.779282     0.071322
      672702377.779327     0.071322
      672702378.779282     0.069182
      672702379.779327     0.060623
      672702380.779266     0.070609
      672702381.779327     0.070609
      672702382.779282     0.061336
      672702383.779205     0.066329
      672702384.779312     0.069896
      672702385.779266     0.062763
      672702386.779327     0.067756
      672702387.779160     0.065616
      672702388.779251     0.062049
      672702389.779221     0.069182
      672702390.779297     0.067042
      672702391.779266     0.058483
      672702392.779190     0.062049
      672702393.779160     0.068469
      672702394.779251     0.059196
      672702395.779190     0.057770
      672702396.779266     0.061336
      672702397.779221     0.061336
      672702398.779129     0.059196
      672702399.779266     0.057057
      672702400.779083     0.060623
      672702401.779144     0.060623
      672702402.779221     0.058483
      672702403.779190     0.057057
      672702404.779221     0.060623
      672702405.779160     0.060623
      672702406.779221     0.058483
      672702407.779144     0.056343
      672702408.779221     0.059910
      672702409.779190     0.059910
      672702410.779190     0.057770
      672702411.779144     0.056343
      672702412.779144     0.059910
      672702413.779129     0.059910
      672702414.779190     0.057057
      672702415.779190     0.055630
      672702416.779190     0.059196
      672702417.779099     0.059196
      672702418.779144     0.057057
      672702419.779175     0.055630
      672702420.779114     0.059196
      672702421.779083     0.059196
      672702422.779099     0.057057
      672702423.779037     0.055630
      672702424.779083     0.059196
      672702425.779114     0.059196
      672702426.779083     0.056343
      672702427.779144     0.054917
      672702428.779129     0.058483
      672702429.779099     0.058483
      672702430.779037     0.049924
      672702431.779053     0.048497
      672702432.779114     0.051350
      672702433.779129     0.058483
      672702434.778915     0.056343
      672702435.779068     0.054203
      672702436.778992     0.051350
      672702437.779053     0.057770
      672702438.779022     0.049210
      672702439.779083     0.047784
      672702440.779007     0.051350
      672702441.779053     0.051350
      672702442.779007     0.055630
      672702443.778992     0.054203
      672702444.779037     0.057770
      672702445.778961     0.057770
      672702446.779053     0.049210
      672702447.778976     0.047784
      672702448.778992     0.051350
      672702449.779022     0.049924
      672702450.778870     0.049210
      672702451.778946     0.047071
      672702452.778976     0.047784
      672702453.778976     0.055630
      672702454.779022     0.058483
      672702455.778992     0.056343
      672702456.778931     0.047071
      672702457.778839     0.050637
      672702458.779007     0.051350
      672702459.778915     0.049924
      672702460.778961     0.047071
      672702461.778931     0.049210
      672702462.778931     0.051350
      672702463.778931     0.049210
      672702464.778885     0.047784
      672702465.778976     0.049210
      672702466.778900     0.051350
      672702467.778839     0.049210
      672702468.778961     0.053490
      672702469.778931     0.055630
      672702470.778824     0.050637
      672702471.778915     0.048497
      672702472.778824     0.047071
      672702473.778900     0.049210
      672702474.778809     0.050637
      672702475.778931     0.049210
      672702476.778870     0.047071
      672702477.778839     0.049210
      672702478.778839     0.050637
      672702479.778885     0.049210
      672702480.778824     0.047071
      672702481.778900     0.048497
      672702482.778824     0.050637
      672702483.778839     0.049210
      672702484.778824     0.047071
      672702485.778809     0.048497
      672702486.778824     0.057057
      672702487.778839     0.054917
      672702488.778778     0.047071
      672702489.778809     0.048497
